timestamp,humidity_pct
2024-05-21 00:00,62.0
2024-05-21 01:00,62.0
2024-05-21 02:00,61.96
2024-05-21 03:00,61.88
2024-05-21 04:00,61.71
2024-05-21 05:00,61.45
2024-05-21 06:00,61.06
2024-05-21 07:00,60.55
2024-05-21 08:00,59.9
2024-05-21 09:00,59.11
2024-05-21 10:00,58.18
2024-05-21 11:00,57.13
2024-05-21 12:00,55.96
2024-05-21 13:00,54.7
2024-05-21 14:00,53.37
2024-05-21 15:00,51.99
2024-05-21 16:00,50.6
2024-05-21 17:00,49.21
2024-05-21 18:00,47.85
2024-05-21 19:00,46.56
2024-05-21 20:00,45.35
2024-05-21 21:00,44.25
2024-05-21 22:00,43.27
2024-05-21 23:00,42.42
