timestamp,ambient_celsius,wetbulb_celsius,wind_mps
2024-05-21 00:00,18.0,15.2,2.1
2024-05-21 01:00,18.94,16.16,2.4
2024-05-21 02:00,19.84,17.1,2.7
2024-05-21 03:00,20.66,17.99,3.0
2024-05-21 04:00,21.37,18.8,2.1
2024-05-21 05:00,21.94,19.49,2.4
2024-05-21 06:00,22.39,20.06,2.7
2024-05-21 07:00,22.72,20.51,3.0
2024-05-21 08:00,22.95,20.86,2.1
2024-05-21 09:00,23.12,21.13,2.4
2024-05-21 10:00,23.27,21.37,2.7
2024-05-21 11:00,23.45,21.61,3.0
2024-05-21 12:00,23.69,21.89,2.1
2024-05-21 13:00,24.04,22.23,2.4
2024-05-21 14:00,24.5,22.67,2.7
2024-05-21 15:00,25.1,23.21,3.0
2024-05-21 16:00,25.82,23.85,2.1
2024-05-21 17:00,26.66,24.58,2.4
2024-05-21 18:00,27.56,25.37,2.7
2024-05-21 19:00,28.51,26.19,3.0
2024-05-21 20:00,29.45,27.01,2.1
2024-05-21 21:00,30.34,27.78,2.4
2024-05-21 22:00,31.14,28.49,2.7
2024-05-21 23:00,31.83,29.1,3.0
