run_id,reactor_temp_c,coolant_flow_lpm,valve_open_pct,yield_pct,total_kw
D001,84,90,55,94.27,2390
D002,84,90,70,94.72,2390
D003,84,90,85,95.17,2390
D004,84,95,55,94.67,2335
D005,84,95,70,95.12,2335
D006,84,95,85,95.57,2335
D007,84,100,55,95.07,2280
D008,84,100,70,95.52,2280
D009,84,100,85,95.97,2280
D010,88,90,55,94.75,2422
D011,88,90,70,95.2,2422
D012,88,90,85,95.65,2422
D013,88,95,55,95.15,2367
D014,88,95,70,95.6,2367
D015,88,95,85,96.05,2367
D016,88,100,55,95.55,2312
D017,88,100,70,96.0,2312
D018,88,100,85,96.45,2312
D019,92,90,55,94.27,2454
D020,92,90,70,94.72,2454
D021,92,90,85,95.17,2454
D022,92,95,55,94.67,2399
D023,92,95,70,95.12,2399
D024,92,95,85,95.57,2399
D025,92,100,55,95.07,2344
D026,92,100,70,95.52,2344
D027,92,100,85,95.97,2344
