date,shift_a_lead,shift_b_lead,shift_c_lead,planned_line3_rate_pct
2024-05-01,Kim,Lee,Park,100
2024-05-02,Kim,Lee,Park,100
2024-05-03,Kim,Lee,Park,100
2024-05-04,Kim,Lee,Park,100
2024-05-05,Kim,Lee,Park,95
2024-05-06,Kim,Lee,Park,100
2024-05-07,Kim,Lee,Park,100
2024-05-08,Kim,Lee,Park,100
2024-05-09,Kim,Lee,Park,100
2024-05-10,Kim,Lee,Park,95
2024-05-11,Kim,Lee,Park,100
2024-05-12,Kim,Lee,Park,100
2024-05-13,Kim,Lee,Park,100
2024-05-14,Kim,Lee,Park,100
2024-05-15,Kim,Lee,Park,95
2024-05-16,Kim,Lee,Park,100
2024-05-17,Kim,Lee,Park,100
2024-05-18,Kim,Lee,Park,100
2024-05-19,Kim,Lee,Park,100
2024-05-20,Kim,Lee,Park,95
2024-05-21,Kim,Lee,Park,100
2024-05-22,Kim,Lee,Park,100
2024-05-23,Kim,Lee,Park,100
2024-05-24,Kim,Lee,Park,100
2024-05-25,Kim,Lee,Park,95
2024-05-26,Kim,Lee,Park,100
2024-05-27,Kim,Lee,Park,100
2024-05-28,Kim,Lee,Park,100
2024-05-29,Kim,Lee,Park,100
2024-05-30,Kim,Lee,Park,95
2024-05-31,Kim,Lee,Park,100
